temps_id,date,annee,mois,jour
2459,2016-09-24,2016,9,24
2500,2016-11-04,2016,11,4
2516,2016-11-20,2016,11,20
2557,2016-12-31,2016,12,31
2590,2017-02-02,2017,2,2
2601,2017-02-13,2017,2,13
2606,2017-02-18,2017,2,18
2630,2017-03-14,2017,3,14
2695,2017-05-18,2017,5,18
2985,2018-03-04,2018,3,4
3040,2018-04-28,2018,4,28
3051,2018-05-09,2018,5,9
3069,2018-05-27,2018,5,27
3134,2018-07-31,2018,7,31
3261,2018-12-05,2018,12,5
3279,2018-12-23,2018,12,23
3312,2019-01-25,2019,1,25
3329,2019-02-11,2019,2,11
3406,2019-04-29,2019,4,29
3501,2019-08-02,2019,8,2
3506,2019-08-07,2019,8,7
3530,2019-08-31,2019,8,31
3540,2019-09-10,2019,9,10
3565,2019-10-05,2019,10,5
3605,2019-11-14,2019,11,14
3666,2020-01-14,2020,1,14
3732,2020-03-20,2020,3,20
3742,2020-03-30,2020,3,30
3773,2020-04-30,2020,4,30
3786,2020-05-13,2020,5,13
3815,2020-06-11,2020,6,11
3861,2020-07-27,2020,7,27
3931,2020-10-05,2020,10,5
4021,2021-01-03,2021,1,3
4128,2021-04-20,2021,4,20
4226,2021-07-27,2021,7,27
4228,2021-07-29,2021,7,29
4331,2021-11-09,2021,11,9
4332,2021-11-10,2021,11,10
4446,2022-03-04,2022,3,4
4479,2022-04-06,2022,4,6
4483,2022-04-10,2022,4,10
4539,2022-06-05,2022,6,5
4694,2022-11-07,2022,11,7
4698,2022-11-11,2022,11,11
4707,2022-11-20,2022,11,20
4797,2023-02-18,2023,2,18
4862,2023-04-24,2023,4,24
4911,2023-06-12,2023,6,12
4991,2023-08-31,2023,8,31
5042,2023-10-21,2023,10,21
5089,2023-12-07,2023,12,7
5122,2024-01-09,2024,1,9
5222,2024-04-18,2024,4,18
5238,2024-05-04,2024,5,4
5302,2024-07-07,2024,7,7
5324,2024-07-29,2024,7,29
5369,2024-09-12,2024,9,12
5522,2025-02-12,2025,2,12
5539,2025-03-01,2025,3,1
5596,2025-04-27,2025,4,27
5600,2025-05-01,2025,5,1
5773,2025-10-21,2025,10,21
5834,2025-12-21,2025,12,21
5842,2025-12-29,2025,12,29
5846,2026-01-02,2026,1,2
5854,2026-01-10,2026,1,10
5874,2026-01-30,2026,1,30
5878,2026-02-03,2026,2,3
5879,2026-02-04,2026,2,4
5932,2026-03-29,2026,3,29
6128,2026-10-11,2026,10,11
6237,2027-01-28,2027,1,28
6238,2027-01-29,2027,1,29
6277,2027-03-09,2027,3,9
6286,2027-03-18,2027,3,18
6369,2027-06-09,2027,6,9
6376,2027-06-16,2027,6,16
6408,2027-07-18,2027,7,18
6418,2027-07-28,2027,7,28
6427,2027-08-06,2027,8,6
6508,2027-10-26,2027,10,26
6526,2027-11-13,2027,11,13
6550,2027-12-07,2027,12,7
6614,2028-02-09,2028,2,9
6728,2028-06-02,2028,6,2
6742,2028-06-16,2028,6,16
6743,2028-06-17,2028,6,17
6784,2028-07-28,2028,7,28
6838,2028-09-20,2028,9,20
6841,2028-09-23,2028,9,23
6880,2028-11-01,2028,11,1
6892,2028-11-13,2028,11,13
6935,2028-12-26,2028,12,26
6986,2029-02-15,2029,2,15
7026,2029-03-27,2029,3,27
7063,2029-05-03,2029,5,3
7106,2029-06-15,2029,6,15
7146,2029-07-25,2029,7,25
7180,2029-08-28,2029,8,28
7303,2029-12-29,2029,12,29
7445,2030-05-20,2030,5,20
7548,2030-08-31,2030,8,31
7551,2030-09-03,2030,9,3
7566,2030-09-18,2030,9,18
7648,2030-12-09,2030,12,9
7728,2031-02-27,2031,2,27
7745,2031-03-16,2031,3,16
7753,2031-03-24,2031,3,24
7761,2031-04-01,2031,4,1
7767,2031-04-07,2031,4,7
7821,2031-05-31,2031,5,31
7830,2031-06-09,2031,6,9
7875,2031-07-24,2031,7,24
7883,2031-08-01,2031,8,1
7903,2031-08-21,2031,8,21
7958,2031-10-15,2031,10,15
